Place,Points,,Place,Points,,Place,Points,,Place,Points,,Place,Points,,Place,Points,,Place,Points,,Place,Points,,Place,Points,,Place,Points,,Place,Points,,Place,Points,,Place,Points,,Place,Points,Place,Points
1,7,,1,6.965,,1,6.93,,1,6.895,,1,6.86,,1,6.825,,1,6.79,,1,6.755,,1,6.72,,1,6.685,,1,6.65,,1,6.615,,1,6.58,,1,6.545,,1,4.90875
2,6.588235294,,2,6.5296875,,2,6.468,,2,6.4025,,2,6.332307692,,2,6.25625,,2,6.172727273,,2,6.0795,,2,5.973333333,,2,5.849375,,2,5.7,,2,5.5125,,2,5.264,,2,4.90875,,2,3.2725
3,6.176470588,,3,6.094375,,3,6.006,,3,5.91,,3,5.804615385,,3,5.6875,,3,5.555454545,,3,5.404,,3,5.226666667,,3,5.01375,,3,4.75,,3,4.41,,3,3.948,,3,3.2725,,3,1.63625
4,5.764705882,,4,5.6590625,,4,5.544,,4,5.4175,,4,5.276923077,,4,5.11875,,4,4.938181818,,4,4.7285,,4,4.48,,4,4.178125,,4,3.8,,4,3.3075,,4,2.632,,4,1.63625,,4,0
5,5.352941176,,5,5.22375,,5,5.082,,5,4.925,,5,4.749230769,,5,4.55,,5,4.320909091,,5,4.053,,5,3.733333333,,5,3.3425,,5,2.85,,5,2.205,,5,1.316,,5,0,,,
6,4.941176471,,6,4.7884375,,6,4.62,,6,4.4325,,6,4.221538462,,6,3.98125,,6,3.703636364,,6,3.3775,,6,2.986666667,,6,2.506875,,6,1.9,,6,1.1025,,6,0,,,,,,
7,4.529411765,,7,4.353125,,7,4.158,,7,3.94,,7,3.693846154,,7,3.4125,,7,3.086363636,,7,2.702,,7,2.24,,7,1.67125,,7,0.95,,7,0,,,,,,,,,
8,4.117647059,,8,3.9178125,,8,3.696,,8,3.4475,,8,3.166153846,,8,2.84375,,8,2.469090909,,8,2.0265,,8,1.493333333,,8,0.835625,,8,0,,,,,,,,,,,,
9,3.705882353,,9,3.4825,,9,3.234,,9,2.955,,9,2.638461538,,9,2.275,,9,1.851818182,,9,1.351,,9,0.7466666667,,9,0,,,,,,,,,,,,,,,
10,3.294117647,,10,3.0471875,,10,2.772,,10,2.4625,,10,2.110769231,,10,1.70625,,10,1.234545455,,10,0.6755,,10,0,,,,,,,,,,,,,,,,,,
11,2.882352941,,11,2.611875,,11,2.31,,11,1.97,,11,1.583076923,,11,1.1375,,11,0.6172727273,,11,0,,,,,,,,,,,,,,,,,,,,,
12,2.470588235,,12,2.1765625,,12,1.848,,12,1.4775,,12,1.055384615,,12,0.56875,,12,0,,,,,,,,,,,,,,,,,,,,,,,,
13,2.058823529,,13,1.74125,,13,1.386,,13,0.985,,13,0.5276923077,,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.647058824,,14,1.3059375,,14,0.924,,14,0.4925,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.235294118,,15,0.870625,,15,0.462,,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.8235294118,,16,0.4353125,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.4117647059,,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,